"Jour","Entreprises","PME/PMI","Professionnels","Résidentiels","Total"
2020-05-15,"11409930334.0",37984223,281054,30969537,33429225376
2020-06-15,"11901686750.0",49404471,266093,26120259,30958542118
2020-06-16,"12754043770.0",53768697,263198,25643857,31730389982
2020-06-17,"12723781127.0",54313235,244211,27451807,31863539463
2020-06-21,"8021430469.0",46627723,198473,28150372,25999210844
2020-06-23,"13394626283.0",66979616,273246,25594085,32749619160
2020-06-30,"13390285021.0",73418984,316773,25753083,32788317252
2020-07-02,"13769410694.0",76118294,298434,26214790,33182372968
2020-07-13,"11165655314.0",84381259,252555,26494957,30653314146
2020-07-14,"10359245600.0",81308994,217402,27819800,28401419312
2020-07-15,"13148048935.0",86228599,287766,27015980,32698946844
2020-07-22,"13908009231.0",92700902,268173,28278015,34062977470
2020-07-23,"13948877074.0",94415147,271068,27339015,34203369517
2020-08-02,"8400252183.0",77056381,226133,29704442,27261512695
2020-08-15,"8944081715.0",63177219,217179,30148924,27640213768
2020-08-28,"12777257337.0",64328159,304026,30509734,32111059242
2020-09-14,"13352464874.0",61035871,408822,31832270,33146308179
2020-10-13,"13955580054.0",51585583,492572,54506216,41124462507
2020-10-28,"13616382514.0",51350785,414366,63540532,40811123351
2020-11-01,"8357546667.0",35156208,256347,61755378,31598656288
2020-11-05,"13778364031.0",49944292,456040,77183050,43422035738
2020-11-10,"13306122945.0",47092828,452531,61729504,38614212612
2020-11-11,"10395640144.0",37449486,336477,71480074,35403130512
2020-11-21,"9953817763.0",42870845,426702,98810581,42225110758
2020-11-22,"8879829924.0",39798669,384922,101804884,41515032132
2020-11-24,"14076286064.0",53491094,632948,96045635,47803247119
2020-11-29,"9107614397.0",39765590,430513,106347880,42559487012
2020-12-06,"9489233061.0",44195601,576361,125488554,47345960248
2020-12-28,"10634960904.0",49327462,746211,127195813,50003024776
2020-12-30,"10968469348.0",52339712,756332,132777321,51195717829
2021-01-19,"14619467194.0",2729973531,1029887,135145043,55650515364
2021-02-03,"13822060752.0",2272475233,821353,102614151,45287042962
