"","Jour","Entreprises ","PME/PMI","Professionnels","Résidentiels","Total"
"187",2024-01-09,"14566135942.0",7242797461,6951695,565145136,59785150690
"188",2024-01-12,"14074599636.0",7024648991,6912368,557356780,58459829807
"189",2024-01-14,"10006704406.0",5439926543,5794541,600555851,53575170110
"190",2024-01-23,"13813578359.0",6130756169,5840526,397181490,48407423298
"191",2024-02-01,"13508887632.0",5776775810,5464230,359865597,45206057463
"192",2024-02-03,"9831017700.0",4747546000,4872624,387506548,40845238437
"193",2024-02-05,"13083392494.0",5870029049,5427610,379002842,45804615544
"194",2024-02-10,"9715567920.0",4575174613,4685358,358076541,38940754250
"195",2024-02-16,"12569289712.0",5124917204,4901353,296321436,39844172095
"196",2024-02-22,"13202693962.0",5450571921,4987326,328891276,43045600654
"197",2024-03-01,"12729341492.0",5528254456,5046318,370623424,44687753815
"198",2024-03-02,"9764372792.0",4720030989,4638796,394091914,41167731659
"199",2024-03-04,"12879051336.0",5749010138,4868304,393045941,46011664802
"200",2024-03-12,"13345896920.0",5630146667,4879242,336891869,43385231865
"201",2024-03-22,"12160148192.0",4678733888,3836518,225893846,34339931355
"202",2024-04-23,"12968056875.0",5223670834,3680252,304146209,40652475791
"203",2024-04-24,"12979574045.0",5206103650,3918354,318774076,40985055222
"204",2024-04-27,"9238341741.0",4029187423,3460288,281927968,33445965740
"205",2024-05-21,"12045835763.0",4438058731,3110805,182434427,31480337761
"206",2024-05-31,"12029900009.0",4424567385,3224634,182360495,31662255450
"207",2024-06-09,"8221843240.0",3188343029,2508838,186491821,25575142885
"208",2024-06-18,"12934081992.0",4592215799,3051341,164938267,31734416776
"209",2024-06-20,"12893418558.0",4577950021,3342388,167050718,31795598357
"210",2024-06-27,"13576113152.0",4932166376,3114247,166746608,32897225644
"211",2024-07-03,"12809206444.0",4470023705,3150706,173776362,31455035491
"212",2024-07-04,"12922619743.0",4577210166,3172164,164529167,31620751279
"213",2024-07-09,"13315610626.0",4784590707,3246999,165929897,32466123915
"214",2024-07-16,"13089012807.0",4647173160,3148376,165580706,32142812231
"215",2024-07-20,"10219134998.0",4315844478,3146333,181676705,29372959818
"216",2024-07-25,"13180030241.0",4864288416,3290076,167316848,32569849402
"217",2024-07-27,"9756055225.0",4114979124,3247668,179893480,28507125442
"218",2024-07-29,"12415259683.0",4894007988,3228372,178211691,32322914414
"219",2024-07-31,"13263027231.0",5222021410,3553251,188174423,34200525316
"220",2024-08-06,"11498531874.0",4745158515,3423231,168116741,30820173241
"221",2024-08-16,"10034729697.0",4257741605,3607408,163199046,28261270195
"222",2024-08-21,"11437490983.0",4265301729,3361116,166803471,29559912754
"223",2024-09-17,"12677102262.0",4520666388,4655034,173417082,32211957727
"224",2024-09-27,"12189556966.0",4535143470,5587941,183994734,32533792647
"225",2024-09-28,"9103439660.0",3731357939,4803194,208073071,29137749654
"226",2024-10-03,"12765999032.0",4723545155,5801394,199431804,34310173093
"227",2024-10-05,"9169384840.0",3852816838,5174718,228994323,30709879425
"228",2024-10-09,"12785908998.0",4641850652,5758937,208638722,34338508238
"229",2024-10-19,"9215558371.0",3772826569,5532715,223372037,29708171669
"230",2024-10-26,"9256672460.0",3755310623,5718572,239841800,30104087018
"231",2024-10-29,"12640484013.0",4606352572,6000734,230475095,34715365001
"232",2024-11-03,"8316360637.0",3536910990,5876121,298700939,31340060559
"233",2024-11-10,"8485887395.0",3653549978,6226823,300653330,31967642542
"234",2024-11-14,"13453767949.0",5664279626,8421817,360935723,43497865131
"235",2024-11-16,"9777878203.0",4651627904,7820497,401140136,39840000143
"236",2024-11-17,"8866512157.0",4126473398,7286737,407682318,38305015817
"237",2019-11-24,"9295687488.0",27481854,84247,34275010,41663409159
"238",2019-11-28,"14443663909.0",35249435,116554,29090648,45520756644
"239",2019-11-29,"13986237845.0",34839924,112794,29721109,45620573041
"240",2019-12-09,"14200072874.0",39302794,146112,36699655,49691030934
"241",2019-12-14,"10506825488.0",33698995,115023,38714869,44740590293
"242",2019-12-27,"10714155891.0",35522093,112426,36472688,44095458376
